Employee_ID,Attrition
0,Yes
1,No
2,Yes
3,No
4,No
5,No
6,No
7,No
8,No
9,No
10,No
11,No
12,No
13,No
14,Yes
15,No
16,No
17,No
18,No
19,No
20,No
21,Yes
22,No
23,No
24,Yes
25,No
26,Yes
27,No
28,No
29,No
30,No
31,No
32,No
33,Yes
34,Yes
35,No
36,Yes
37,No
38,No
39,No
40,No
41,No
42,Yes
43,No
44,No
45,Yes
46,No
47,No
48,No
49,No
50,Yes
51,Yes
52,No
53,No
54,No
55,No
56,No
57,No
58,No
59,No
60,No
61,No
62,No
63,No
64,No
65,No
66,No
67,No
68,No
69,Yes
70,No
71,No
72,No
73,No
74,No
75,No
76,No
77,No
78,No
79,No
80,No
81,No
82,No
83,No
84,No
85,No
86,No
87,No
88,No
89,Yes
90,No
91,No
92,No
93,No
94,No
95,No
96,No
97,No
98,No
99,No
100,Yes
101,No
102,Yes
103,No
104,No
105,No
106,No
107,Yes
108,No
109,No
110,No
111,Yes
112,No
113,No
114,No
115,No
116,No
117,No
118,No
119,No
120,No
121,No
122,Yes
123,No
124,Yes
125,No
126,Yes
127,Yes
128,No
129,No
130,No
131,No
132,Yes
133,No
134,No
135,No
136,Yes
137,No
138,No
139,No
140,Yes
141,No
142,No
143,No
144,No
145,No
146,No
147,No
148,No
149,No
150,No
151,No
152,No
153,No
154,No
155,No
156,No
157,No
158,No
159,No
160,No
161,No
162,No
163,No
164,No
165,No
166,No
167,No
168,No
169,No
170,No
171,Yes
172,No
173,No
174,No
175,No
176,No
177,Yes
178,No
179,No
180,No
181,No
182,Yes
183,No
184,No
185,No
186,No
187,No
188,No
189,No
190,No
191,No
192,Yes
193,No
194,No
195,No
196,No
197,No
198,No
199,No
200,No
201,No
202,No
203,No
204,Yes
205,Yes
206,No
207,No
208,No
209,No
210,Yes
211,No
212,No
213,No
214,Yes
215,No
216,Yes
217,Yes
218,No
219,No
220,No
221,No
222,No
223,No
224,No
225,No
226,No
227,No
228,No
229,Yes
230,No
231,No
232,No
233,No
234,Yes
235,No
236,Yes
237,No
238,No
239,Yes
240,No
241,No
242,No
243,No
244,No
245,No
246,No
247,No
248,No
249,No
250,Yes
251,No
252,No
253,No
254,No
255,No
